_start,_stop,_time,_value
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:20:52Z,387
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:20:57Z,383
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:21:03Z,379
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:21:08Z,376
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:21:13Z,372
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:21:18Z,369
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:21:23Z,367
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:21:28Z,363
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:21:33Z,365
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:21:38Z,363
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:21:43Z,333
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:21:48Z,355
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:21:53Z,355
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:21:58Z,354
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:22:04Z,352
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:22:09Z,350
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:22:14Z,348
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:22:19Z,340
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:22:24Z,346
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:22:29Z,345
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:22:34Z,343
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:22:39Z,341
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:22:44Z,341
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:22:49Z,339
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:22:54Z,338
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:23:00Z,336
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:23:05Z,334
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:23:10Z,333
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:23:15Z,330
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-03T00:23:20Z,329
